Date,Start/stop time,Genotype,Noni,ACV,Un-trapped,Dead,Total,death rate,Percent un-trapped,indecision,PI,Notes,Order,N
3/22/24,2:30 PM,Praislin 7611,3,10,13,0,26,0.00%,0.50,0.5,-0.269230769,No Triton-X,C,
3/22/24,2:30 PM,Praislin 7611,10,8,6,0,24,0.00%,0.25,0.25,0.083333333,No Triton-X,C,
3/27/24,2:00 PM,Praislin 7611,19,4,0,0,23,0.00%,0.00,0,0.652173913,,C,
3/27/24,2:00 PM,Praislin 7611,9,7,0,6,16,27.27%,0.00,0,,,C,
4/3/24,11:30 AM,Praislin 7611,9,13,3,0,25,0.00%,0.12,0.12,-0.16,,C,
4/3/24,11:30 AM,Praislin 7611,9,10,5,0,24,0.00%,0.21,0.208333333,-0.041666667,,C,
4/3/24,11:30 AM,Praislin 7611,6,15,3,0,24,0.00%,0.13,0.125,-0.375,,C,
4/10/24,1:00 PM,Praislin 7611,15,4,4,3,26,11.54%,0.15,0.153846154,0.423076923,,C,
4/11/24,1:00 PM,Praislin 7611,18,5,0,1,24,4.17%,0.00,0,0.541666667,,C,
4/11/24,1:00 PM,Praislin 7611,18,6,0,0,24,0.00%,0.00,0,0.5,,C,
4/19/24,2:00 PM,Praislin 7611,9,8,2,4,23,17.39%,0.09,0.086956522,0.043478261,,C,
4/26/24,11:30 AM,Praislin 7611,15,11,0,1,27,3.70%,0.00,0,0.148148148,,C,
5/14/24,2:00 PM,Praislin 7611,12,13,0,0,25,0.00%,0.00,0,-0.04,,C,
5/16/24,2:00 PM,Praislin 7611,18,5,0,1,24,4.17%,0.00,0,0.541666667,,C,
5/16/24,2:00 PM,Praislin 7611,15,10,0,1,26,3.85%,0.00,0,0.192307692,,C,
5/16/24,2:00 PM,Praislin 7611,14,10,2,0,26,0.00%,0.08,0.076923077,0.153846154,,C,
5/17/24,2:00 PM,Praislin 7611,15,7,0,1,23,4.35%,0.00,0,0.347826087,,C,
5/22/24,12:00 PM,Praislin 7611,15,5,0,4,24,16.67%,0.00,0,0.416666667,,C,
5/23/24,12:00 PM,Praislin 7611,9,11,4,0,24,0.00%,0.17,0.166666667,-0.083333333,,C,
5/24/24,2:00 PM,Praislin 7611,14,7,1,1,23,4.35%,0.04,0.043478261,0.304347826,,C,
5/28/24,3:00 PM,Praislin 7611,10,11,2,1,24,4.17%,0.08,0.083333333,-0.041666667,,C,
5/29/24,2:00 PM,Praislin 7611,19,5,0,1,25,4.00%,0.00,0,0.56,,C,
5/29/24,2:00 PM,Praislin 7611,6,17,0,2,25,8.00%,0.00,0,-0.44,,C,
5/31/24,3:00 PM,Praislin 7611,17,5,1,3,26,11.54%,0.04,0.038461538,0.461538462,,C,
5/31/24,3:00 PM,Praislin 7611,15,4,1,4,24,16.67%,0.04,0.041666667,0.458333333,,C,
6/4/24,2:00 PM,Praislin 7611,12,3,1,9,25,36.00%,0.04,0.04,,,C,
6/7/24,2:00 PM,Praislin 7611,14,5,1,4,24,16.67%,0.04,0.041666667,0.375,,C,
6/7/24,2:00 PM,Praislin 7611,20,2,1,1,24,4.17%,0.04,0.041666667,0.75,,C,
6/12/24,2:00 PM,Praislin 7611,13,4,0,7,24,29.17%,0.00,0,,,C,
