file,start_datetime,stop_datetime,replicate,sex,species,strain,region_id,status
Monitor7-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Praislin7611,21,OK 
Monitor7-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Praislin7611,22,DEAD 
Monitor7-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Praislin7611,23,DEAD  
Monitor7-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Praislin7611,24,DEAD 
Monitor7-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Praislin7611,25,OK
Monitor7-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Praislin7611,26,DEAD 
Monitor7-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Praislin7611,27,OK 
Monitor7-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Praislin7611,28,DEAD 
Monitor7-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Praislin7611,29,DEAD 
Monitor7-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Praislin7611,30,OK 
Monitor7-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Praislin7611,31,DEAD 
Monitor7-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Praislin7611,32,OK 
Monitor8-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Mahe13111,1,DEAD
Monitor8-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Mahe13111,2,DEAD 
Monitor8-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Mahe13111,3,DEAD 
Monitor8-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Mahe13111,4,DEAD 
Monitor8-6.txt,2024-03-15 09:00:00,2024-03-19 08:59:00,1,M,Dsec,Mahe13111,5,OK 
