file,start_datetime,stop_datetime,replicate,sex,species,strain,region_id,status
Monitor7-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Praislin7611,21,DEAD 
Monitor7-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Praislin7611,22,DEAD 
Monitor7-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Praislin7611,23,DEAD  
Monitor7-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Praislin7611,24,OK 
Monitor7-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Praislin7611,25,DEAD
Monitor7-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Praislin7611,26,OK 
Monitor7-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Praislin7611,27,OK 
Monitor7-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Praislin7611,28,DEAD 
Monitor7-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Praislin7611,29,OK 
Monitor7-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Praislin7611,30,OK 
Monitor7-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Praislin7611,31,OK 
Monitor7-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Praislin7611,32,OK 
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Dsec.28,1,OK
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Dsec.28,2,OK 
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Dsec.28,3,OK 
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Dsec.28,4,OK 
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Dsec.28,5,OK 
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Dsec.28,6,OK 
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Dsec.28,7,OK 
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Dsec.28,8,OK 
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Dsec.28,9,OK 
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Dsec.28,10,OK 
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Dsec.28,11,OK  
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Dsec.28,12,OK 
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Dsec.28,13,DEAD 
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Dsec.28,14,OK 
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Dsec.28,15,DEAD 
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Dsec.28,16,DEAD 
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Praislin7621,17,OK 
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Praislin7621,18,DEAD 
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Praislin7621,19,OK 
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Praislin7621,21,DEAD 
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Praislin7621,22,OK 
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Praislin7621,23,OK  
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Praislin7621,24,OK 
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Praislin7621,25,DEAD
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Praislin7621,26,OK 
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Praislin7621,27,OK 
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Praislin7621,28,OK 
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Praislin7621,29,DEAD
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Praislin7621,30,DEAD 
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Praislin7621,31,OK 
Monitor8-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Praislin7621,32,OK 
Monitor9-6.txt,2024-04-18 09:00:00,2024-04-28 08:59:00,1,M,Dsec,Dsec.07,1,OK
