DmelCS_Or85b,Dsec07_Or85b,Dsec_Aride3312_Or85b,Dsec_Mahe13112_Or85b,Dsec_praislin7612_Or85b
26,73,86,92,72
22,84,87,73,87
29,92,71,93,91
33,71,78,74,80
33,72,69,82,76
32,81,88,78,77
26,89,78,90,69
33,76,86,89,73
34,77,68,90,79
30,68,86,86,72
